organization,employer_type,job_title,job_area,location,location_area,closing_date,closing_time,contract_type,work_pattern,salary,apply_url,job_reference,date_checked,source_url
Nottingham City Council,Council,Crematorium Manager,Management & Leadership,"West Bridgford, Nottingham, NG2 7FE",Rushcliffe,2026-09-28,,Permanent,Full-time,"£37,563 - £40,444 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8471,8471,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Mental Health Specialist CAMHS,Health & Clinical,"Loxley House, Nottingham, NG2 3NG",Nottingham,2026-09-28,,Fixed-term,Full-time,"£47,665 - £50,908 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8309,8309,2026-09-21,https://boroughjobs.co.uk/job/638931/mental-health-specialist-camhs
Nottingham City Council,Council,Qualified Children's Wellbeing Practitioner - CWP,Health & Clinical,"Loxley House, Nottingham, NG2 3NG",Nottingham,2026-09-28,,Fixed-term,Full-time,"£33,673 - £36,581 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8311,8311,2026-09-21,https://boroughjobs.co.uk/job/638932/qualified-childrens-wellbeing-practitioner-cwp
Nottingham City Council,Council,Engagement Officer - Midlands Net Zero Hub,Community & Outreach,"Eastcroft, Nottingham",Nottingham,2026-09-29,,Fixed-term,Full-time,"£33,673 - £36,581 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8470,8470,2026-09-21,https://boroughjobs.co.uk/job/641040/engagement-officer-midlands-net-zero-hub
Nottingham City Council,Council,Post Qualified CAMHS Practitioner L3,Health & Clinical,"Loxley House, Nottingham",Nottingham,2026-09-29,,Fixed-term,Full-time,"£42,123 - £45,529 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/jobs,,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Playground Engineer,"Property, Facilities & Operations","Nottingham, NG5 4HA",Nottingham,2026-09-30,,Permanent,Full-time,"£29,542 - £32,046 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8469,8469,2026-09-21,https://boroughjobs.co.uk/job/642523/playground-engineer
Nottingham City Council,Council,Community Care Officer Adult Placement,Care & Support,"The Willows Day Centre, Nottingham, NG8 3GD",Nottingham,2026-10-01,,Fixed-term,Part-time,"£33,673 - £36,581 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8420,8420,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Estates Rents Assistant,Administration & Business Support,"Loxley House, Nottingham",Nottingham,2026-10-02,,Other,Full-time,"£27,709 - £28,608 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8459,8459,2026-09-21,https://boroughjobs.co.uk/job/643578/estates-rents-assistant
Nottingham City Council,Council,Health and Social Care Officer,Care & Support,"Nottingham Health and Care Point, Nottingham, NG8 3BP",Nottingham,2026-10-02,,Other,Full-time,"£29,542 - £32,046 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8584,8584,2026-09-21,https://boroughjobs.co.uk/job/643829/health-and-social-care-officer
Nottingham City Council,Council,Regulation Support Officer,Administration & Business Support,"Loxley House, Nottingham",Nottingham,2026-10-02,,Temporary,Full-time,"£27,709 - £28,608 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8397,8397,2026-09-21,https://boroughjobs.co.uk/job/643822/regulation-support-officer
Nottingham City Council,Council,Care Worker Level 2,Care & Support,Nottingham citywide,Nottingham,2026-10-04,,Permanent,Part-time,"£27,709 - £28,608 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8502,8502,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Care Worker Level 2 (Night),Care & Support,"Cherry Trees, Nottingham, NG5 5TA",Nottingham,2026-10-04,,Permanent,Part-time,"£27,709 - £28,608 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8474,8474,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Executive Officer,Administration & Business Support,"Loxley House, Nottingham",Nottingham,2026-10-04,,Other,Full-time,"£42,123 - £45,529 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8597,8597,2026-09-21,https://boroughjobs.co.uk/job/641337/executive-officer
Nottingham City Council,Council,Public Realm Operative Level 2 GAS,"Property, Facilities & Operations","Eastcroft Depot, Nottingham",Nottingham,2026-10-04,,Permanent,Full-time,"£26,427 - £27,274 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8434,8434,2026-09-21,https://boroughjobs.co.uk/job/643643/public-realm-operative-level-2-gas
Nottingham City Council,Council,Public Realm Operative Level 2 HRA,"Property, Facilities & Operations","Woolsthorpe Depot, Nottingham, NG8 3JD",Nottingham,2026-10-04,,Permanent,Part-time,"£26,427 - £27,274 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8435,8435,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Public Realm Operative Level 2 ILS,"Property, Facilities & Operations","Woolsthorpe Depot, Nottingham, NG8 3JD",Nottingham,2026-10-04,,Permanent,Part-time,"£26,427 - £27,274 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8433,8433,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,Senior Officer - Road Safety,Transport & Driving,"Loxley House, Nottingham",Nottingham,2026-10-16,,Permanent,Full-time,"£37,563 - £40,444 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8464,8464,2026-09-21,https://boroughjobs.co.uk/job/643206/senior-officer-road-safety
Nottingham City Council,Council,Waste and Cleansing Driver,Transport & Driving,"Eastcroft Depot, Nottingham, NG3 2AH",Nottingham,2026-10-17,,Permanent,Full-time,"£27,709 - £28,608 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/jobs,,2026-09-21,https://boroughjobs.co.uk/job/643958/waste-and-cleansing-driver
Nottingham City Council,Council,Senior Officer – NM (Street-works),Transport & Driving,"Loxley House, Nottingham, NG2 3NG",Nottingham,2026-10-18,,Permanent,Full-time,"£37,563 - £40,444 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8404,8404,2026-09-21,https://boroughjobs.co.uk/job/644003/senior-officer-nm-street-works
Nottingham City Council,Council,Technical Officer - Network Co-ordination,Transport & Driving,"Loxley House, Nottingham, NG2 3NG",Nottingham,2026-10-18,,Permanent,Full-time,"£29,542 - £32,046 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/job/8403,8403,2026-09-21,https://boroughjobs.co.uk/company/nottingham-city-council
Nottingham City Council,Council,HGV Mechanic,"Property, Facilities & Operations","Eastcroft Depot, Nottingham",Nottingham,2026-10-31,,Permanent,Full-time,"£37,563 - £40,444 per annum",https://eism.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/ncc/jobs,,2026-09-21,https://boroughjobs.co.uk/job/643526/hgv-mechanic
Nottingham College,Education,Apprentice Recruitment Assistant,Administration & Business Support,"Nottingham One, 120 Canal Street, Nottingham, NG1 7HG",Nottingham,2026-09-21,23:59,Permanent,Full-time,"Band 3 £24,840 to £25,230 per annum.",https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/apprentice-recruitment-assistant-530,NottmCollege/TP/10086/530,2026-09-21,https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/apprentice-recruitment-assistant-530
Nottingham College,Education,Lecturer in Uniformed Services,Education & Training,"Basford, 664 Nuthall Road, Nottingham, NG8 6AQ",Nottingham,2026-09-21,23:59,Permanent,Part-time,"£33,742 - £42,182 per annum FTE (pro-rata £13,496 to £16,872)",https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/lecturer-in-uniformed-services-524,NottmCollege/TP/10086/524,2026-09-21,https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/lecturer-in-uniformed-services-524
Nottingham College,Education,Exams Coordinator - T-Levels,Administration & Business Support,"Nottingham One, 120 Canal Street, Nottingham, NG1 7HG",Nottingham,2026-09-27,,Permanent,Full-time,"£26,478 to £29,234 per annum FTE (Band 5)",https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/exams-coordinator-t-levels-529,NottmCollege/TP/1223/529,2026-09-21,https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/exams-coordinator-t-levels-529
Nottingham College,Education,Schools Liaison Officer,Community & Outreach,"Basford, 664 Nuthall Road, Nottingham, NG8 6AQ",Nottingham,2026-09-30,,Permanent,Full-time,"£30,860 - £35,282 per annum FTE (Band 6)",https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/schools-liaison-officer-542,NottmCollege/TP/1217/542,2026-09-21,https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/schools-liaison-officer-542
Nottingham College,Education,Work Experience Coordinator,Education & Training,"Basford, 664 Nuthall Road, Nottingham, NG8 6AQ",Nottingham,2026-09-30,,Fixed-term,Full-time,"£27,802 to £30,696 per annum (Band 5)",https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/work-experience-coordinator-539,NottmCollege/TP/1223/539,2026-09-21,https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/work-experience-coordinator-539
Nottingham College,Education,"BEGIN Advice, Information and Referral Officer (Full time, Permanent)",Community & Outreach,"Adams Building, Stoney Street, Nottingham, NG1 1NG",Nottingham,2026-10-07,,Permanent,Part-time,"£26,519 - £27,665 per annum (Band 4, pro rated for part time)",https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/begin-advice-information-and-referral-officer-full-time-permanent-541,NottmCollege/TP/1217/541,2026-09-21,https://www.nottinghamcollege.ac.uk/about-us/working-for-us/current-vacancies/begin-advice-information-and-referral-officer-full-time-permanent-541
Nottingham Trent University,Education,Research Fellow,Other,"Brackenhurst Campus, Southwell",Newark & Sherwood,2026-09-24,,Fixed-term,Full-time,"£33,739 - £38,825 per annum",https://vacancies.ntu.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=552510,552510,2026-09-21,https://vacancies.ntu.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=552510
Nottingham Trent University,Education,Technical Specialist - Immersive Media & Technology,IT & Digital,"City Campus, Nottingham",Nottingham,2026-09-28,,Permanent,Full-time,"£33,739 - £38,825 per annum",https://vacancies.ntu.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=552396,552396,2026-09-21,https://vacancies.ntu.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=552396
Nottingham Trent University,Education,Health and Safety Advisor,"Property, Facilities & Operations",NTU campuses in Nottinghamshire,Multiple Nottinghamshire locations,2026-10-09,,Permanent,Full-time,"£39,984 - £44,977 per annum",https://vacancies.ntu.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=552535,552535,2026-09-21,https://vacancies.ntu.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=552535
Nottingham Trent University,Education,Hourly Paid Lecturer - Computer Science,Education & Training,"Clifton Campus, Nottingham",Nottingham,2026-11-30,,Bank/Casual/Sessional,Variable/Sessional,£50.75 per direct teaching hour / HPL1,https://vacancies.ntu.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=552461,552461,2026-09-21,https://vacancies.ntu.ac.uk/tlive_webrecruitment/wrd/run/ETREC107GF.open?VACANCY_ID=552461
Nottingham University Hospitals NHS Trust,NHS,Phlebotomist,Health & Clinical,"City Hospital and QMC Campus, Nottingham",Nottingham,2026-09-21,23:59,Permanent,Full-time or Part-time,"£25,272 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Phlebotomist/Phlebotomist-v8237549,164-8237549,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Phlebotomist/Phlebotomist-v8237549
Nottingham University Hospitals NHS Trust,NHS,Senior Assistant Technical Officer - Cytolab,Health & Clinical,"City Hospital, Nottingham",Nottingham,2026-09-21,23:59,Permanent,Full-time,"£25,760 - £27,476 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Pathology/Pathology-v8223070,164-8223070,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Pathology/Pathology-v8223070
Nottingham University Hospitals NHS Trust,NHS,Specialist Clinical Pharmacist - Surgical Cancer and Specialities Lead,Health & Clinical,"City Hospital, Nottingham",Nottingham,2026-09-21,23:59,Permanent,Full-time,"£57,528 - £64,750 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Pharmacy/Pharmacy-v8199924,164-8199924,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Pharmacy/Pharmacy-v8199924
Nottingham University Hospitals NHS Trust,NHS,Director of Operational Finance / Deputy CFO,Finance & Procurement,"City Hospital, Nottingham",Nottingham,2026-09-23,23:59,Permanent,Full-time,,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Finance/Finance-v8284275,164-8284275,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Finance/Finance-v8284275
Nottingham University Hospitals NHS Trust,NHS,Junior or Senior Clinical Fellow in Emergency Medicine - February 2027,Health & Clinical,"Queen's Medical Centre, Nottingham",Nottingham,2026-09-24,23:59,Fixed-term,Full-time or Part-time,"£55,355 - £67,325 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Emergency_Medicine/Emergency_Medicine-v8131659,164-8131659-A,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Emergency_Medicine/Emergency_Medicine-v8131659
Nottingham University Hospitals NHS Trust,NHS,Locum Consultant Haematologist - Haemostasis and Thrombosis,Health & Clinical,"Nottingham University Hospitals, Nottingham",Nottingham,2026-09-24,23:59,Fixed-term,Full-time,"£113,565 - £150,569 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Haematology/Haematology-v8225036,164-8225036,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Haematology/Haematology-v8225036
Nottingham University Hospitals NHS Trust,NHS,Locum Consultant Haematologist - Thrombosis & Haemostasis,Health & Clinical,"Nottingham University Hospitals, Nottingham",Nottingham,2026-09-24,23:59,Fixed-term,Full-time,"£113,565 - £150,569 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Haematology/Haematology-v8218936,164-8218936,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Haematology/Haematology-v8218936
Nottingham University Hospitals NHS Trust,NHS,Accounts Receivable Manager,Finance & Procurement,"Trust HQ, Nottingham",Nottingham,2026-09-27,23:59,Permanent,Full-time,"£32,073 - £39,043 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Finance/Finance-v8188965,164-8188965,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Finance/Finance-v8188965
Nottingham University Hospitals NHS Trust,NHS,Senior Medicines Management Technician - EAC,Health & Clinical,"Queen's Medical Centre, Nottingham",Nottingham,2026-09-27,23:59,Permanent,Part-time,"£32,073 - £39,043 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Pharmacy/Pharmacy-v8139961,164-8139961,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Pharmacy/Pharmacy-v8139961
Nottingham University Hospitals NHS Trust,NHS,Therapy Support Worker - Parkinson's MDT,Care & Support,"Queen's Medical Centre and City Hospital, Nottingham",Nottingham,2026-09-27,23:59,Permanent,Part-time,"£25,760 - £27,476 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Therapies/Therapies-v8190371,164-8190371,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Therapies/Therapies-v8190371
Nottingham University Hospitals NHS Trust,NHS,Trust Grade Registrar in Obstetrics and Gynaecology,Health & Clinical,"Nottingham University Hospitals, Nottingham",Nottingham,2026-09-27,23:59,Permanent,Full-time,"£67,325 plus supplements",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Obstetrics_Gynaecology/Obstetrics_Gynaecology-v8179108,164-8179108,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Obstetrics_Gynaecology/Obstetrics_Gynaecology-v8179108
Nottingham University Hospitals NHS Trust,NHS,Urology Cancer Clinical Nurse Specialist,Health & Clinical,"City Campus, Nottingham",Nottingham,2026-09-27,23:59,Fixed-term,Full-time or Part-time,"£39,959 - £48,117 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Urology/Urology-v8203214,164-8203214,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Urology/Urology-v8203214
Nottingham University Hospitals NHS Trust,NHS,Consultant Maxillofacial Surgeon,Health & Clinical,"Queen's Medical Centre, Nottingham",Nottingham,2026-09-29,23:59,Permanent,Full-time,"£109,725 - £145,478 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Maxillofacial/Maxillofacial-v8195942,164-8195942,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Maxillofacial/Maxillofacial-v8195942
Nottingham University Hospitals NHS Trust,NHS,Clinical Teaching Fellow in Emergency Medicine,Health & Clinical,"Queen's Medical Centre, Nottingham",Nottingham,2026-10-01,23:59,Fixed-term,Full-time,"£55,355 - £67,325 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Emergency_Medicine/Emergency_Medicine-v8251151,164-8251151-A,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Emergency_Medicine/Emergency_Medicine-v8251151
Nottingham University Hospitals NHS Trust,NHS,Stroke Consultant Physician,Health & Clinical,"Queen's Medical Centre, Nottingham",Nottingham,2026-10-01,23:59,Permanent,Full-time,"£113,565 - £150,569 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Stroke/Stroke-v8235033,164-8235033,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Stroke/Stroke-v8235033
Nottingham University Hospitals NHS Trust,NHS,Listening and Communication Specialist - Speech and Language Therapist,Health & Clinical,"Ropewalk House, Nottingham",Nottingham,2026-10-09,23:59,Permanent,Full-time or Part-time,"£49,387 - £56,515 per annum",https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Listening_Communication_Specialist_Hearing_Impairment_Speech_Language_Therapist/Listening_Communication_Specialist_Hearing_Impairment_Speech_Language_Therapist-v8150102,164-8150102,2026-09-21,https://www.healthjobsuk.com/job/UK/Nottinghamshire/Nottingham/Nottingham_University_Hospitals_NHS_Trust/Listening_Communication_Specialist_Hearing_Impairment_Speech_Language_Therapist/Listening_Communication_Specialist_Hearing_Impairment_Speech_Language_Therapist-v8150102
Nottinghamshire County Council,Council,Senior Organisational Development Practitioner,HR & People,"County Hall, West Bridgford",Rushcliffe,2026-09-21,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31108-Senior-Organisational-Development-Practitioner/en-GB,31108,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Trading Standards Officer,"Planning, Environment & Regulatory","County House, Mansfield",Mansfield,2026-09-21,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31084-Trading-Standards-Officer/en-GB,31084,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Assistant Accountant,Finance & Procurement,"County Hall, West Bridgford",Rushcliffe,2026-09-22,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31087-Assistant-Accountant/en-GB,31087,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Senior Workforce Development Practitioner,HR & People,"County Hall, West Bridgford",Rushcliffe,2026-09-22,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31109-Senior-Workforce-Development-Practitioner/en-GB,31109,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Care Worker,Care & Support,"Wynhill Lodge, Helmsley Road and Holles Street short-break services",Multiple Nottinghamshire locations,2026-09-23,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31037-Care-Worker/en-GB,31037,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Domestic,"Property, Facilities & Operations","Wynhill Lodge, Bingham",Rushcliffe,2026-09-23,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31040-Domestic/en-GB,31040,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,SEND Team Manager,Management & Leadership,Countywide / various Nottinghamshire locations,Nottinghamshire-wide,2026-09-24,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31101-SEND-Team-Manager/en-GB,31101,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Advanced Practitioner,Care & Support,"Thoresby House, Ollerton, NG22 9FF",Newark & Sherwood,2026-09-27,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31183-Advanced-Practitioner/en-GB,31183,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Early Years Practitioner,Children & Young People,Bassetlaw District Family Hubs,Bassetlaw,2026-09-27,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31009-Early-Years-Practitioner/en-GB,31009,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,External Workforce Officer,HR & People,"County Hall, West Bridgford",Rushcliffe,2026-09-27,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31007-External-Workforce-Officer/en-GB,31007,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Social Worker - Family Support & Safeguarding,Care & Support,"Beeston Central, Beeston",Broxtowe,2026-09-27,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/31103-Social-Worker-Family-Support-Safeguarding/en-GB,31103,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Specialist Teacher - Cognition & Learning Team KS2 to 5,Education & Training,"Home Brewery, Arnold; work may include Ollerton and Mansfield",Multiple Nottinghamshire locations,2026-09-27,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/1/pl/5/opp/30829-Specialist-Teacher-Cognition-Learning-Team-KS2-to-5/en-GB,30829,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Adoption Occupational Therapist,Health & Clinical,"Trent Bridge House, West Bridgford, NG2 6BJ",Rushcliffe,2026-09-28,,Other,Not stated,,https://nottinghamshire.tal.net/vx/mobile-0/appcentre-1/brand-8/candidate/jobboard/vacancy/5,,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
Nottinghamshire County Council,Council,Occupational Therapist,Health & Clinical,"Welbeck House, Sherwood Energy Village, Ollerton",Newark & Sherwood,2026-09-28,,Other,Not stated,,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-1/brand-8/candidate/so/pm/4/pl/1/opp/31120-Occupational-Therapist/en-GB,31120,2026-09-21,https://nottinghamshire.tal.net/vx/lang-en-GB/mobile-0/appcentre-ext/brand-8/candidate/jobboard/vacancy/1/adv/
